user_id,registration_date,investor_type,nationality,age_bracket,device_type,acquisition_channel,kyc_status
USR00071,2024-10-18,First-time,Saudi,26-32,Tablet,Referral,Verified
USR00072,2024-12-19,Returning,Indian Expat,18-25,Mobile,Organic Search,Pending
USR00073,2024-12-13,First-time,Other,33-40,Mobile,Referral,Verified
USR00074,2025-02-01,First-time,Filipino Expat,33-40,Tablet,Referral,Verified
USR00075,2024-10-28,First-time,Emirati,41-50,Tablet,Referral,Verified
USR00076,2024-12-28,Returning,Emirati,33-40,Tablet,Paid Social,Verified
USR00077,2025-01-02,First-time,Filipino Expat,33-40,Desktop,Direct,Verified
USR00078,2024-12-24,First-time,Emirati,18-25,Mobile,Organic Search,Not Started
USR00079,2025-03-26,First-time,Other,51+,Desktop,Organic Search,Verified
USR00080,2025-02-22,Returning,Other,41-50,Mobile,Organic Search,Verified
USR00081,2024-10-09,First-time,Indian Expat,26-32,Mobile,App Store,Not Started
USR00082,2024-10-02,First-time,Indian Expat,26-32,Mobile,Paid Social,Verified
USR00083,2024-11-26,First-time,Emirati,26-32,Desktop,Paid Social,Verified
USR00084,2024-11-11,Returning,Emirati,41-50,Desktop,Email Campaign,Verified
USR00085,2025-02-15,Returning,Emirati,26-32,Desktop,Paid Social,Verified
USR00086,2024-10-06,First-time,Saudi,26-32,Desktop,Organic Search,Verified
USR00087,2025-03-29,Returning,British Expat,51+,Mobile,Paid Social,Pending
USR00088,2024-12-05,First-time,Other,51+,Mobile,Paid Social,Pending
USR00089,2024-11-02,Returning,Indian Expat,26-32,Tablet,Organic Search,Verified
USR00090,2025-01-02,Returning,Indian Expat,26-32,Mobile,Organic Search,Verified
USR00091,2025-03-16,First-time,Pakistani Expat,33-40,Desktop,App Store,Verified
USR00092,2024-10-02,Returning,Emirati,26-32,Mobile,Direct,Verified
USR00093,2025-02-15,First-time,Filipino Expat,18-25,Desktop,Organic Search,Verified
USR00094,2024-12-31,First-time,Indian Expat,33-40,Mobile,App Store,Verified
USR00095,2024-10-13,First-time,Emirati,18-25,Mobile,Email Campaign,Verified
USR00096,2025-02-01,First-time,Indian Expat,33-40,Desktop,Organic Search,Verified
USR00097,2025-03-19,First-time,Indian Expat,33-40,Tablet,Direct,Pending
USR00098,2025-03-20,First-time,Other,41-50,Mobile,App Store,Verified
USR00099,2024-12-06,First-time,Pakistani Expat,26-32,Mobile,Organic Search,Not Started
USR00100,2024-11-08,First-time,Pakistani Expat,18-25,Desktop,Organic Search,Verified
USR00101,2024-10-15,First-time,Indian Expat,41-50,Mobile,Organic Search,Verified
USR00102,2024-12-12,First-time,Emirati,18-25,Desktop,Paid Social,Verified
USR00103,2025-03-29,First-time,Indian Expat,26-32,Mobile,Paid Social,Verified
USR00104,2025-02-08,Returning,Saudi,26-32,Desktop,Referral,Verified
USR00105,2025-03-16,First-time,British Expat,26-32,Desktop,Organic Search,Verified
USR00106,2024-11-05,First-time,Indian Expat,33-40,Desktop,Direct,Verified
USR00107,2024-10-16,First-time,Indian Expat,33-40,Desktop,Email Campaign,Pending
USR00108,2025-02-09,Returning,Saudi,41-50,Mobile,Referral,Verified
USR00109,2025-02-27,Returning,Emirati,26-32,Mobile,Organic Search,Verified
USR00110,2025-01-08,Returning,Indian Expat,26-32,Mobile,Organic Search,Verified
USR00111,2024-11-15,Returning,Saudi,33-40,Desktop,Organic Search,Pending
USR00112,2024-11-24,First-time,British Expat,41-50,Desktop,Direct,Verified
USR00113,2025-01-07,First-time,Emirati,51+,Mobile,Organic Search,Not Started
USR00114,2024-12-29,First-time,Emirati,33-40,Mobile,Referral,Not Started
USR00115,2025-01-07,First-time,British Expat,33-40,Mobile,Organic Search,Pending
USR00116,2024-12-29,First-time,Filipino Expat,26-32,Mobile,Referral,Not Started
USR00117,2024-11-24,First-time,Emirati,41-50,Desktop,Paid Social,Verified
USR00118,2025-01-18,First-time,Emirati,33-40,Mobile,Referral,Verified
USR00119,2024-10-31,First-time,Pakistani Expat,18-25,Mobile,Paid Social,Not Started
USR00120,2025-01-07,First-time,Emirati,33-40,Desktop,Paid Social,Not Started
USR00121,2024-10-17,First-time,Pakistani Expat,33-40,Mobile,Organic Search,Pending
USR00122,2024-10-05,First-time,Indian Expat,26-32,Mobile,Referral,Pending
USR00123,2025-03-04,First-time,Emirati,18-25,Mobile,Referral,Verified
USR00124,2024-11-19,First-time,British Expat,26-32,Desktop,Paid Social,Not Started
USR00125,2024-12-24,First-time,Indian Expat,33-40,Mobile,Organic Search,Pending
USR00126,2024-10-14,Returning,Pakistani Expat,26-32,Desktop,Organic Search,Verified
USR00127,2024-11-17,Returning,Emirati,41-50,Tablet,Organic Search,Verified
USR00128,2025-01-23,Returning,British Expat,33-40,Mobile,Paid Social,Verified
USR00129,2024-11-19,Returning,British Expat,26-32,Mobile,Paid Social,Pending
USR00130,2025-02-09,First-time,Emirati,41-50,Mobile,Paid Social,Pending
USR00131,2024-12-25,First-time,Saudi,33-40,Desktop,Email Campaign,Verified
USR00132,2024-12-15,First-time,Saudi,26-32,Mobile,Referral,Verified
USR00133,2025-02-13,First-time,British Expat,33-40,Desktop,Referral,Verified
USR00134,2025-03-25,First-time,British Expat,18-25,Mobile,Referral,Not Started
USR00135,2024-10-24,First-time,Indian Expat,26-32,Mobile,Organic Search,Verified
USR00136,2024-10-31,Returning,Indian Expat,41-50,Tablet,Referral,Pending
USR00137,2025-03-26,Returning,Saudi,26-32,Mobile,Paid Social,Verified
USR00138,2024-11-06,First-time,Indian Expat,33-40,Desktop,Organic Search,Verified
USR00139,2025-01-02,First-time,Saudi,26-32,Mobile,Organic Search,Pending
USR00140,2024-10-30,First-time,British Expat,33-40,Desktop,Paid Social,Verified
USR00141,2025-02-16,First-time,British Expat,33-40,Mobile,Paid Social,Pending
USR00142,2024-11-14,First-time,Indian Expat,51+,Desktop,Organic Search,Pending
USR00143,2024-12-07,First-time,Indian Expat,33-40,Mobile,Organic Search,Pending
USR00144,2025-03-25,Returning,British Expat,18-25,Mobile,Paid Social,Verified
USR00145,2024-10-03,First-time,British Expat,33-40,Desktop,Organic Search,Verified
USR00146,2025-03-23,First-time,British Expat,41-50,Mobile,Direct,Not Started
USR00147,2025-01-21,Returning,Saudi,26-32,Desktop,Organic Search,Verified
USR00148,2024-10-08,First-time,Filipino Expat,41-50,Mobile,Paid Social,Verified
USR00149,2024-11-25,First-time,Indian Expat,41-50,Mobile,Referral,Verified
USR00150,2025-03-19,First-time,Indian Expat,26-32,Mobile,Organic Search,Pending
USR00151,2025-01-07,Returning,Pakistani Expat,18-25,Desktop,Paid Social,Verified
USR00152,2025-02-12,Returning,Saudi,33-40,Tablet,Direct,Verified
USR00153,2025-01-31,First-time,Indian Expat,33-40,Tablet,Paid Social,Verified
USR00154,2025-01-11,First-time,Saudi,41-50,Mobile,Paid Social,Verified
USR00155,2025-01-26,First-time,Pakistani Expat,33-40,Mobile,Organic Search,Verified
USR00156,2024-12-16,First-time,Indian Expat,26-32,Tablet,Organic Search,Verified
USR00157,2024-12-03,First-time,Saudi,33-40,Mobile,Organic Search,Not Started
USR00158,2024-11-03,First-time,Saudi,41-50,Mobile,Paid Social,Verified
USR00159,2024-11-20,First-time,Indian Expat,26-32,Mobile,Paid Social,Not Started
USR00160,2025-03-24,First-time,Filipino Expat,18-25,Desktop,Referral,Pending
USR00161,2025-01-27,Returning,Indian Expat,41-50,Mobile,Organic Search,Verified
USR00162,2024-10-18,First-time,British Expat,26-32,Mobile,Referral,Not Started
USR00163,2024-12-18,First-time,Emirati,33-40,Desktop,Organic Search,Verified
USR00164,2025-03-03,Returning,Saudi,41-50,Mobile,Email Campaign,Verified
USR00165,2025-01-21,Returning,Saudi,41-50,Mobile,Paid Social,Verified
USR00166,2025-03-15,Returning,Indian Expat,26-32,Mobile,Paid Social,Verified
USR00167,2025-02-08,First-time,British Expat,41-50,Mobile,App Store,Pending
USR00168,2024-12-29,Returning,Indian Expat,18-25,Mobile,Paid Social,Verified
USR00169,2024-11-12,First-time,Indian Expat,33-40,Mobile,Direct,Verified
USR00170,2025-02-14,First-time,Saudi,26-32,Mobile,Referral,Not Started
USR00171,2024-11-09,First-time,British Expat,18-25,Mobile,Email Campaign,Pending
USR00172,2025-02-16,First-time,Indian Expat,26-32,Desktop,Paid Social,Not Started
USR00173,2024-11-21,Returning,Indian Expat,26-32,Tablet,Paid Social,Verified
USR00174,2025-01-30,First-time,Indian Expat,26-32,Desktop,Email Campaign,Verified
USR00175,2024-12-05,First-time,Emirati,33-40,Mobile,Referral,Pending
USR00176,2024-12-24,First-time,Indian Expat,26-32,Mobile,Organic Search,Pending
USR00177,2025-03-30,First-time,Indian Expat,33-40,Mobile,Referral,Not Started
USR00178,2024-10-31,First-time,Filipino Expat,26-32,Mobile,Referral,Pending
USR00179,2025-01-24,Returning,Indian Expat,51+,Mobile,Organic Search,Pending
USR00180,2024-11-30,First-time,British Expat,26-32,Mobile,Paid Social,Pending
USR00181,2024-12-27,First-time,Indian Expat,18-25,Mobile,Organic Search,Verified
USR00182,2024-10-15,First-time,Indian Expat,26-32,Desktop,Organic Search,Verified
USR00183,2025-02-02,First-time,Saudi,26-32,Mobile,Email Campaign,Verified
USR00184,2024-10-12,First-time,British Expat,26-32,Mobile,Direct,Verified
USR00185,2025-01-23,First-time,Indian Expat,18-25,Tablet,Paid Social,Pending
USR00186,2024-10-15,First-time,Filipino Expat,41-50,Mobile,Organic Search,Not Started
USR00187,2024-12-03,First-time,Emirati,33-40,Tablet,Paid Social,Verified
USR00188,2025-01-26,First-time,Saudi,18-25,Mobile,Email Campaign,Not Started
USR00189,2024-10-02,First-time,Indian Expat,26-32,Mobile,Referral,Not Started
USR00190,2025-02-12,First-time,British Expat,51+,Mobile,Organic Search,Pending
USR00191,2025-02-22,Returning,Other,26-32,Mobile,Organic Search,Verified
USR00192,2024-12-16,First-time,Filipino Expat,33-40,Mobile,Paid Social,Pending
USR00193,2024-12-24,First-time,Saudi,33-40,Mobile,Organic Search,Pending
USR00194,2024-11-26,First-time,Pakistani Expat,26-32,Mobile,Organic Search,Verified
USR00195,2025-03-25,First-time,Indian Expat,41-50,Desktop,Email Campaign,Not Started
USR00196,2024-10-23,Returning,Indian Expat,26-32,Mobile,Direct,Verified
USR00197,2024-12-19,First-time,Indian Expat,41-50,Desktop,Organic Search,Verified
USR00198,2025-02-15,Returning,Emirati,26-32,Mobile,Email Campaign,Pending
USR00199,2024-11-16,First-time,Filipino Expat,41-50,Mobile,Direct,Pending
USR00200,2025-02-08,First-time,Filipino Expat,41-50,Mobile,Paid Social,Not Started
USR00201,2025-02-03,First-time,Saudi,41-50,Mobile,Organic Search,Not Started
USR00202,2024-10-17,Returning,Indian Expat,33-40,Mobile,Direct,Verified
USR00203,2024-12-25,First-time,Indian Expat,26-32,Desktop,Referral,Not Started
USR00204,2025-03-16,First-time,Emirati,41-50,Mobile,Organic Search,Verified
USR00205,2025-03-16,First-time,Emirati,18-25,Mobile,Referral,Verified
USR00206,2025-02-20,Returning,Indian Expat,41-50,Mobile,Organic Search,Verified
USR00207,2025-03-30,First-time,Emirati,26-32,Desktop,Paid Social,Not Started
USR00208,2025-01-25,First-time,Emirati,33-40,Mobile,Organic Search,Not Started
USR00209,2025-02-13,Returning,Saudi,41-50,Desktop,Organic Search,Verified
USR00210,2025-03-05,First-time,British Expat,33-40,Mobile,Direct,Pending
USR00211,2024-10-04,Returning,British Expat,41-50,Tablet,Referral,Verified
USR00212,2025-02-15,First-time,Emirati,26-32,Desktop,Email Campaign,Verified
USR00213,2025-03-25,First-time,Filipino Expat,26-32,Mobile,Direct,Verified
USR00214,2024-12-01,Returning,Filipino Expat,51+,Mobile,Paid Social,Verified
USR00215,2024-12-31,Returning,Indian Expat,18-25,Mobile,Paid Social,Verified
USR00216,2025-03-09,First-time,Indian Expat,26-32,Mobile,Direct,Verified
USR00217,2025-03-23,First-time,Pakistani Expat,51+,Mobile,Direct,Verified
USR00218,2025-03-13,First-time,Indian Expat,33-40,Mobile,Referral,Not Started
USR00219,2024-10-10,Returning,Emirati,18-25,Desktop,Email Campaign,Verified
USR00220,2025-02-11,First-time,Saudi,33-40,Mobile,Organic Search,Not Started
USR00221,2025-01-17,First-time,Filipino Expat,41-50,Desktop,Paid Social,Not Started
USR00222,2024-10-19,First-time,Pakistani Expat,51+,Mobile,Direct,Verified
USR00223,2025-03-05,First-time,Other,18-25,Desktop,Direct,Pending
USR00224,2024-12-21,Returning,Indian Expat,41-50,Mobile,Organic Search,Verified
USR00225,2024-10-10,First-time,Pakistani Expat,33-40,Mobile,Organic Search,Pending
USR00226,2024-11-06,First-time,Filipino Expat,26-32,Desktop,Direct,Verified
USR00227,2025-02-01,First-time,Other,33-40,Mobile,Referral,Pending
USR00228,2025-02-02,First-time,Pakistani Expat,33-40,Desktop,Referral,Verified
USR00229,2024-12-23,Returning,British Expat,18-25,Desktop,Paid Social,Verified
USR00230,2025-03-17,First-time,Saudi,33-40,Mobile,Paid Social,Verified
USR00231,2025-02-07,First-time,Indian Expat,18-25,Mobile,Referral,Not Started
USR00232,2025-01-17,First-time,Saudi,18-25,Desktop,Paid Social,Not Started
USR00233,2025-01-07,First-time,Indian Expat,41-50,Desktop,Paid Social,Pending
USR00234,2025-03-15,First-time,Indian Expat,41-50,Mobile,Paid Social,Verified
USR00235,2025-01-04,First-time,Pakistani Expat,33-40,Desktop,Paid Social,Verified
USR00236,2024-11-15,Returning,Saudi,26-32,Mobile,Paid Social,Verified
USR00237,2025-03-29,Returning,Filipino Expat,26-32,Desktop,App Store,Verified
USR00238,2025-03-05,First-time,Saudi,33-40,Desktop,App Store,Not Started
USR00239,2024-10-23,First-time,Saudi,26-32,Desktop,Paid Social,Pending
USR00240,2025-03-28,First-time,Pakistani Expat,33-40,Mobile,App Store,Pending
USR00241,2024-10-24,First-time,Indian Expat,18-25,Mobile,App Store,Not Started
USR00242,2024-12-07,First-time,Filipino Expat,51+,Mobile,Email Campaign,Verified
USR00243,2025-03-18,Returning,Filipino Expat,26-32,Mobile,App Store,Pending
USR00244,2024-11-06,First-time,Indian Expat,41-50,Tablet,Email Campaign,Verified
USR00245,2024-12-22,Returning,Indian Expat,26-32,Mobile,Organic Search,Verified
USR00246,2024-12-11,First-time,Indian Expat,41-50,Mobile,Paid Social,Verified
USR00247,2024-10-17,First-time,Filipino Expat,33-40,Mobile,Paid Social,Verified
USR00248,2025-03-17,First-time,Pakistani Expat,33-40,Mobile,Organic Search,Verified
USR00249,2024-12-22,Returning,Indian Expat,41-50,Tablet,Paid Social,Verified
USR00250,2024-11-15,First-time,Pakistani Expat,33-40,Mobile,Paid Social,Verified
USR00251,2025-03-22,First-time,Saudi,33-40,Desktop,Paid Social,Pending
USR00252,2024-12-18,First-time,Filipino Expat,33-40,Tablet,Organic Search,Pending
USR00253,2024-11-10,Returning,British Expat,33-40,Mobile,Organic Search,Verified
USR00254,2024-11-10,Returning,Pakistani Expat,26-32,Desktop,Organic Search,Verified
USR00255,2025-02-01,First-time,Saudi,18-25,Mobile,Organic Search,Verified
USR00256,2025-02-04,First-time,Filipino Expat,33-40,Mobile,App Store,Pending
USR00257,2025-03-26,Returning,British Expat,33-40,Mobile,Paid Social,Verified
USR00258,2024-11-27,Returning,Saudi,26-32,Desktop,Organic Search,Verified
USR00259,2025-01-04,Returning,British Expat,18-25,Desktop,Paid Social,Verified
USR00260,2025-03-10,First-time,Pakistani Expat,26-32,Desktop,Direct,Verified
USR00261,2024-10-18,First-time,Emirati,41-50,Desktop,Organic Search,Verified
USR00262,2024-11-29,First-time,Emirati,33-40,Mobile,Paid Social,Not Started
USR00263,2024-10-08,First-time,Filipino Expat,26-32,Mobile,Paid Social,Verified
USR00264,2024-12-31,First-time,Pakistani Expat,33-40,Desktop,Organic Search,Pending
USR00265,2025-01-28,First-time,Other,33-40,Mobile,Direct,Verified
USR00266,2024-12-09,First-time,Indian Expat,33-40,Mobile,Paid Social,Verified
USR00267,2024-12-11,Returning,Saudi,26-32,Mobile,Organic Search,Verified
USR00268,2024-11-25,First-time,Saudi,33-40,Desktop,Referral,Verified
USR00269,2024-11-27,First-time,Indian Expat,33-40,Desktop,Email Campaign,Verified
USR00270,2024-12-19,Returning,Saudi,26-32,Mobile,Direct,Verified
USR00271,2025-02-04,First-time,Pakistani Expat,33-40,Desktop,Referral,Pending
USR00272,2024-12-09,Returning,Pakistani Expat,18-25,Mobile,Direct,Verified
USR00273,2025-03-09,Returning,Indian Expat,26-32,Desktop,Email Campaign,Verified
USR00274,2024-10-27,Returning,Saudi,41-50,Mobile,Referral,Verified
USR00275,2025-03-17,Returning,Filipino Expat,41-50,Mobile,Direct,Verified
USR00276,2024-11-19,First-time,Indian Expat,33-40,Mobile,Organic Search,Not Started
USR00277,2024-10-19,First-time,Saudi,33-40,Mobile,Organic Search,Not Started
USR00278,2024-12-11,First-time,Saudi,51+,Mobile,Organic Search,Not Started
USR00279,2024-11-20,First-time,Indian Expat,18-25,Desktop,Paid Social,Verified
USR00280,2024-12-29,First-time,Filipino Expat,26-32,Desktop,Organic Search,Not Started
USR00281,2025-03-04,First-time,Emirati,18-25,Desktop,Organic Search,Pending
USR00282,2025-02-10,Returning,Indian Expat,26-32,Desktop,Referral,Verified
USR00283,2024-11-20,Returning,Saudi,26-32,Mobile,App Store,Verified
USR00284,2025-02-05,First-time,Indian Expat,33-40,Desktop,Paid Social,Not Started
USR00285,2025-03-22,First-time,Filipino Expat,41-50,Mobile,Referral,Verified
USR00286,2025-01-21,First-time,Filipino Expat,26-32,Desktop,Direct,Not Started
USR00287,2025-01-10,First-time,Emirati,33-40,Mobile,Referral,Pending
USR00288,2024-10-09,Returning,Indian Expat,41-50,Mobile,Organic Search,Verified
USR00289,2025-02-17,First-time,Pakistani Expat,41-50,Tablet,Referral,Pending
USR00290,2024-10-14,First-time,Emirati,26-32,Mobile,Paid Social,Pending
USR00291,2024-11-11,Returning,Pakistani Expat,41-50,Mobile,Paid Social,Verified
USR00292,2024-11-04,First-time,Emirati,33-40,Desktop,Referral,Not Started
USR00293,2024-11-22,First-time,Indian Expat,41-50,Mobile,App Store,Not Started
USR00294,2024-12-20,First-time,Filipino Expat,33-40,Desktop,Paid Social,Not Started
USR00295,2024-10-17,Returning,Other,26-32,Desktop,Organic Search,Verified
USR00296,2025-03-15,First-time,Emirati,41-50,Desktop,Paid Social,Pending
USR00297,2025-02-19,First-time,British Expat,26-32,Mobile,Direct,Not Started
USR00298,2024-11-12,Returning,Filipino Expat,41-50,Mobile,Email Campaign,Verified
USR00299,2024-10-07,Returning,British Expat,18-25,Mobile,Organic Search,Verified
USR00300,2024-11-01,Returning,Saudi,26-32,Mobile,App Store,Pending
USR00301,2024-12-21,Returning,Indian Expat,26-32,Desktop,Email Campaign,Verified
USR00302,2025-03-25,Returning,Emirati,18-25,Mobile,Organic Search,Verified
USR00303,2025-02-03,Returning,Filipino Expat,26-32,Tablet,Direct,Verified
USR00304,2024-11-03,Returning,Saudi,26-32,Desktop,Referral,Verified
USR00305,2025-01-18,First-time,Emirati,41-50,Mobile,Referral,Pending
USR00306,2024-11-08,Returning,Indian Expat,51+,Mobile,Paid Social,Verified
USR00307,2025-02-15,First-time,British Expat,26-32,Mobile,Paid Social,Verified
USR00308,2024-11-14,First-time,Pakistani Expat,41-50,Desktop,Email Campaign,Not Started
USR00309,2025-01-12,First-time,Pakistani Expat,26-32,Desktop,Paid Social,Verified
USR00310,2025-03-22,First-time,Other,33-40,Tablet,Paid Social,Verified
USR00311,2024-11-03,Returning,Indian Expat,41-50,Mobile,Paid Social,Verified
USR00312,2025-01-24,First-time,Emirati,41-50,Mobile,Direct,Pending
USR00313,2025-02-06,Returning,Indian Expat,41-50,Desktop,Organic Search,Verified
USR00314,2025-03-26,First-time,Emirati,33-40,Mobile,Paid Social,Not Started
USR00315,2024-11-15,First-time,Other,51+,Mobile,Paid Social,Verified
USR00316,2025-03-09,First-time,Indian Expat,33-40,Desktop,Email Campaign,Verified
USR00317,2025-02-27,Returning,Emirati,26-32,Mobile,Direct,Verified
USR00318,2024-10-02,First-time,Saudi,51+,Mobile,Organic Search,Pending
USR00319,2025-03-01,First-time,Saudi,26-32,Desktop,Paid Social,Verified
USR00320,2025-03-09,First-time,Saudi,33-40,Desktop,Paid Social,Pending
USR00321,2024-12-13,Returning,Other,51+,Tablet,Referral,Verified
USR00322,2025-03-01,Returning,Saudi,26-32,Mobile,Organic Search,Verified
USR00323,2025-02-23,First-time,Pakistani Expat,33-40,Desktop,Paid Social,Verified
USR00324,2024-10-23,First-time,Other,33-40,Mobile,Direct,Verified
USR00325,2025-02-07,First-time,Emirati,41-50,Mobile,Paid Social,Not Started
USR00326,2024-10-09,First-time,Indian Expat,33-40,Mobile,Direct,Pending
USR00327,2025-02-12,First-time,Saudi,26-32,Mobile,Referral,Not Started
USR00328,2024-10-01,First-time,Emirati,26-32,Mobile,Organic Search,Verified
USR00329,2024-10-26,Returning,Indian Expat,26-32,Mobile,Referral,Verified
USR00330,2025-01-21,First-time,Indian Expat,33-40,Mobile,Referral,Verified
USR00331,2024-10-31,First-time,Other,26-32,Tablet,Referral,Verified
USR00332,2025-03-24,First-time,British Expat,26-32,Mobile,Email Campaign,Verified
USR00333,2024-12-14,First-time,Pakistani Expat,41-50,Mobile,Direct,Not Started
USR00334,2024-11-08,Returning,Indian Expat,26-32,Desktop,Referral,Verified
USR00335,2024-10-26,First-time,British Expat,51+,Desktop,Organic Search,Verified
USR00336,2025-02-11,First-time,Saudi,33-40,Desktop,Email Campaign,Verified
USR00337,2025-01-23,First-time,Indian Expat,41-50,Mobile,Referral,Not Started
USR00338,2025-01-15,First-time,British Expat,41-50,Mobile,Paid Social,Not Started
USR00339,2025-01-23,First-time,Indian Expat,41-50,Desktop,Paid Social,Verified
USR00340,2024-11-23,First-time,British Expat,41-50,Mobile,Organic Search,Verified
USR00341,2025-03-17,Returning,Pakistani Expat,51+,Mobile,Paid Social,Verified
