session_id,user_id,listing_id,doc_type,time_spent_sec,pages_viewed,downloaded,device_type,investor_type
SES000086,USR00046,LST008,Property Brochure (Unit Specific),9,3,False,Mobile,First-time
SES000088,USR00047,LST001,Property Brochure,12,3,False,Mobile,Returning
SES000088,USR00047,LST001,Whitepaper,28,6,True,Mobile,Returning
SES000088,USR00047,LST001,Projections (XLSX),43,5,False,Mobile,Returning
SES000089,USR00047,LST005,Projections (XLSX),167,3,False,Mobile,Returning
SES000089,USR00047,LST005,Investment Memorandum,57,6,False,Mobile,Returning
SES000089,USR00047,LST005,Whitepaper,31,4,True,Mobile,Returning
SES000090,USR00047,LST016,Investment Memorandum,120,4,True,Mobile,Returning
SES000090,USR00047,LST016,Property Valuation Report,195,7,False,Mobile,Returning
SES000090,USR00047,LST016,Property Brochure (Unit Specific),138,2,False,Mobile,Returning
SES000090,USR00047,LST016,Whitepaper,98,5,False,Mobile,Returning
SES000090,USR00047,LST016,Projections (XLSX),61,4,True,Mobile,Returning
SES000090,USR00047,LST016,Property Brochure,75,3,False,Mobile,Returning
SES000092,USR00047,LST007,Investment Memorandum,135,13,False,Mobile,Returning
SES000092,USR00047,LST007,Property Brochure,9,2,False,Mobile,Returning
SES000092,USR00047,LST007,Projections (XLSX),63,8,False,Mobile,Returning
SES000092,USR00047,LST007,Property Valuation Report,8,5,False,Mobile,Returning
SES000092,USR00047,LST007,Property Brochure (Unit Specific),77,1,False,Mobile,Returning
SES000092,USR00047,LST007,Whitepaper,17,4,False,Mobile,Returning
SES000097,USR00052,LST008,Property Brochure,33,3,False,Tablet,Returning
SES000097,USR00052,LST008,Investment Memorandum,565,6,False,Tablet,Returning
SES000099,USR00054,LST025,Property Valuation Report,85,3,False,Mobile,First-time
SES000101,USR00055,LST021,Property Valuation Report,46,5,False,Mobile,Returning
SES000101,USR00055,LST021,Whitepaper,263,6,False,Mobile,Returning
SES000101,USR00055,LST021,Investment Memorandum,44,11,False,Mobile,Returning
SES000101,USR00055,LST021,Projections (XLSX),90,8,False,Mobile,Returning
SES000103,USR00055,LST012,Projections (XLSX),230,2,False,Mobile,Returning
SES000103,USR00055,LST012,Whitepaper,15,4,False,Mobile,Returning
SES000103,USR00055,LST012,Property Valuation Report,100,4,False,Mobile,Returning
SES000104,USR00056,LST026,Investment Memorandum,117,11,False,Mobile,First-time
SES000104,USR00056,LST026,Property Valuation Report,101,5,False,Mobile,First-time
SES000108,USR00057,LST013,Investment Memorandum,143,4,False,Tablet,Returning
SES000108,USR00057,LST013,Property Valuation Report,93,3,False,Tablet,Returning
SES000113,USR00059,LST025,Investment Memorandum,315,5,True,Desktop,First-time
SES000113,USR00059,LST025,Whitepaper,90,1,False,Desktop,First-time
SES000113,USR00059,LST025,Property Brochure,60,3,False,Desktop,First-time
SES000124,USR00063,LST024,Property Brochure (Unit Specific),57,2,False,Mobile,Returning
SES000124,USR00063,LST024,Property Valuation Report,23,6,False,Mobile,Returning
SES000124,USR00063,LST024,Projections (XLSX),161,5,True,Mobile,Returning
SES000124,USR00063,LST024,Investment Memorandum,198,9,False,Mobile,Returning
SES000125,USR00063,LST026,Investment Memorandum,44,7,True,Mobile,Returning
SES000125,USR00063,LST026,Property Brochure (Unit Specific),129,2,False,Mobile,Returning
SES000125,USR00063,LST026,Property Valuation Report,223,3,False,Mobile,Returning
SES000125,USR00063,LST026,Property Brochure,23,4,False,Mobile,Returning
SES000125,USR00063,LST026,Projections (XLSX),373,4,True,Mobile,Returning
SES000125,USR00063,LST026,Whitepaper,32,4,False,Mobile,Returning
SES000126,USR00064,LST025,Property Brochure,39,2,False,Mobile,Returning
SES000126,USR00064,LST025,Property Brochure (Unit Specific),13,1,True,Mobile,Returning
SES000126,USR00064,LST025,Investment Memorandum,128,8,False,Mobile,Returning
SES000126,USR00064,LST025,Projections (XLSX),307,8,False,Mobile,Returning
SES000128,USR00064,LST030,Property Brochure,60,1,False,Mobile,Returning
SES000128,USR00064,LST030,Property Brochure (Unit Specific),38,4,False,Mobile,Returning
SES000128,USR00064,LST030,Projections (XLSX),280,3,False,Mobile,Returning
SES000128,USR00064,LST030,Investment Memorandum,66,6,True,Mobile,Returning
SES000130,USR00066,LST025,Projections (XLSX),59,4,False,Mobile,First-time
SES000135,USR00070,LST013,Whitepaper,8,4,False,Mobile,Returning
SES000135,USR00070,LST013,Projections (XLSX),127,2,True,Mobile,Returning
SES000135,USR00070,LST013,Property Brochure (Unit Specific),61,3,False,Mobile,Returning
SES000135,USR00070,LST013,Property Valuation Report,14,2,False,Mobile,Returning
SES000136,USR00070,LST018,Projections (XLSX),1096,4,False,Mobile,Returning
SES000136,USR00070,LST018,Property Brochure (Unit Specific),58,2,True,Mobile,Returning
SES000137,USR00071,LST010,Investment Memorandum,71,10,True,Tablet,First-time
SES000139,USR00072,LST028,Whitepaper,12,2,False,Mobile,Returning
SES000139,USR00072,LST028,Property Valuation Report,90,7,False,Mobile,Returning
SES000139,USR00072,LST028,Projections (XLSX),301,2,False,Mobile,Returning
SES000139,USR00072,LST028,Property Brochure,22,1,False,Mobile,Returning
SES000139,USR00072,LST028,Property Brochure (Unit Specific),51,4,False,Mobile,Returning
SES000139,USR00072,LST028,Investment Memorandum,70,2,False,Mobile,Returning
SES000140,USR00072,LST027,Whitepaper,131,1,False,Mobile,Returning
SES000140,USR00072,LST027,Property Brochure,18,1,False,Mobile,Returning
SES000143,USR00074,LST026,Investment Memorandum,293,12,False,Tablet,First-time
SES000143,USR00074,LST026,Projections (XLSX),795,5,True,Tablet,First-time
SES000143,USR00074,LST026,Property Brochure (Unit Specific),17,2,False,Tablet,First-time
SES000143,USR00074,LST026,Whitepaper,43,2,False,Tablet,First-time
SES000146,USR00074,LST001,Property Brochure,179,4,False,Tablet,First-time
SES000146,USR00074,LST001,Investment Memorandum,117,12,False,Tablet,First-time
SES000146,USR00074,LST001,Property Brochure (Unit Specific),56,1,False,Tablet,First-time
SES000146,USR00074,LST001,Whitepaper,22,1,False,Tablet,First-time
SES000146,USR00074,LST001,Projections (XLSX),191,9,False,Tablet,First-time
SES000148,USR00076,LST020,Whitepaper,633,1,False,Tablet,Returning
SES000148,USR00076,LST020,Property Brochure,41,2,False,Tablet,Returning
SES000148,USR00076,LST020,Projections (XLSX),462,3,False,Tablet,Returning
SES000148,USR00076,LST020,Property Valuation Report,106,7,True,Tablet,Returning
SES000152,USR00077,LST030,Investment Memorandum,98,3,True,Desktop,First-time
SES000152,USR00077,LST030,Property Brochure,296,2,False,Desktop,First-time
SES000152,USR00077,LST030,Property Brochure (Unit Specific),30,4,False,Desktop,First-time
SES000152,USR00077,LST030,Property Valuation Report,197,2,False,Desktop,First-time
SES000157,USR00081,LST002,Whitepaper,21,3,False,Mobile,First-time
SES000157,USR00081,LST002,Property Brochure (Unit Specific),96,2,False,Mobile,First-time
SES000161,USR00084,LST018,Investment Memorandum,98,4,False,Desktop,Returning
SES000161,USR00084,LST018,Property Valuation Report,120,1,True,Desktop,Returning
SES000164,USR00085,LST015,Property Brochure (Unit Specific),42,2,False,Desktop,Returning
SES000166,USR00086,LST022,Projections (XLSX),533,9,False,Desktop,First-time
SES000166,USR00086,LST022,Property Valuation Report,371,1,False,Desktop,First-time
SES000166,USR00086,LST022,Property Brochure (Unit Specific),59,2,False,Desktop,First-time
SES000166,USR00086,LST022,Investment Memorandum,659,6,False,Desktop,First-time
SES000168,USR00087,LST005,Property Brochure,19,3,False,Mobile,Returning
SES000168,USR00087,LST005,Property Valuation Report,49,4,False,Mobile,Returning
SES000168,USR00087,LST005,Projections (XLSX),16,4,False,Mobile,Returning
SES000168,USR00087,LST005,Property Brochure (Unit Specific),41,2,False,Mobile,Returning
SES000168,USR00087,LST005,Investment Memorandum,51,6,True,Mobile,Returning
SES000174,USR00089,LST005,Property Brochure (Unit Specific),82,4,False,Tablet,Returning
SES000174,USR00089,LST005,Whitepaper,54,3,False,Tablet,Returning
SES000174,USR00089,LST005,Property Valuation Report,67,3,False,Tablet,Returning
SES000174,USR00089,LST005,Property Brochure,120,2,False,Tablet,Returning
SES000177,USR00092,LST010,Investment Memorandum,33,7,False,Mobile,Returning
SES000177,USR00092,LST010,Whitepaper,74,4,False,Mobile,Returning
SES000177,USR00092,LST010,Property Brochure,19,4,False,Mobile,Returning
SES000177,USR00092,LST010,Projections (XLSX),66,8,True,Mobile,Returning
SES000182,USR00095,LST016,Property Brochure (Unit Specific),16,3,False,Mobile,First-time
SES000185,USR00096,LST002,Property Valuation Report,83,1,True,Desktop,First-time
SES000185,USR00096,LST002,Whitepaper,58,5,False,Desktop,First-time
SES000186,USR00097,LST014,Property Brochure,54,1,False,Tablet,First-time
SES000191,USR00098,LST027,Property Valuation Report,147,3,False,Mobile,First-time
SES000191,USR00098,LST027,Property Brochure,37,2,False,Mobile,First-time
SES000194,USR00100,LST025,Property Brochure (Unit Specific),20,2,False,Desktop,First-time
SES000194,USR00100,LST025,Investment Memorandum,436,11,False,Desktop,First-time
SES000194,USR00100,LST025,Property Brochure,32,4,False,Desktop,First-time
SES000194,USR00100,LST025,Projections (XLSX),1188,4,True,Desktop,First-time
SES000204,USR00106,LST028,Property Valuation Report,230,5,False,Desktop,First-time
SES000204,USR00106,LST028,Property Brochure,155,1,True,Desktop,First-time
SES000207,USR00108,LST004,Projections (XLSX),98,5,False,Mobile,Returning
SES000207,USR00108,LST004,Whitepaper,8,3,False,Mobile,Returning
SES000208,USR00108,LST019,Property Valuation Report,25,6,True,Mobile,Returning
SES000208,USR00108,LST019,Investment Memorandum,331,14,False,Mobile,Returning
SES000208,USR00108,LST019,Whitepaper,23,1,False,Mobile,Returning
SES000208,USR00108,LST019,Property Brochure,8,4,False,Mobile,Returning
SES000208,USR00108,LST019,Projections (XLSX),700,9,True,Mobile,Returning
SES000210,USR00109,LST009,Whitepaper,38,1,False,Mobile,Returning
SES000210,USR00109,LST009,Projections (XLSX),87,9,False,Mobile,Returning
SES000210,USR00109,LST009,Property Valuation Report,54,4,False,Mobile,Returning
SES000214,USR00110,LST019,Property Brochure,155,2,False,Mobile,Returning
SES000214,USR00110,LST019,Property Valuation Report,52,4,False,Mobile,Returning
SES000214,USR00110,LST019,Property Brochure (Unit Specific),25,3,False,Mobile,Returning
SES000214,USR00110,LST019,Projections (XLSX),34,5,False,Mobile,Returning
SES000214,USR00110,LST019,Investment Memorandum,33,10,False,Mobile,Returning
SES000214,USR00110,LST019,Whitepaper,15,4,False,Mobile,Returning
SES000219,USR00114,LST016,Property Brochure (Unit Specific),71,3,False,Mobile,First-time
SES000226,USR00119,LST013,Investment Memorandum,99,4,False,Mobile,First-time
SES000236,USR00125,LST023,Property Brochure (Unit Specific),119,2,False,Mobile,First-time
SES000236,USR00125,LST023,Property Valuation Report,217,6,False,Mobile,First-time
SES000241,USR00126,LST029,Property Valuation Report,101,2,False,Desktop,Returning
SES000241,USR00126,LST029,Projections (XLSX),696,7,False,Desktop,Returning
SES000241,USR00126,LST029,Whitepaper,46,1,False,Desktop,Returning
SES000247,USR00128,LST019,Property Brochure (Unit Specific),57,1,True,Mobile,Returning
SES000247,USR00128,LST019,Property Brochure,83,1,False,Mobile,Returning
SES000247,USR00128,LST019,Property Valuation Report,30,7,False,Mobile,Returning
SES000249,USR00128,LST005,Projections (XLSX),205,8,True,Mobile,Returning
SES000250,USR00129,LST023,Property Brochure (Unit Specific),8,1,False,Mobile,Returning
SES000250,USR00129,LST023,Property Valuation Report,83,7,True,Mobile,Returning
SES000252,USR00129,LST008,Investment Memorandum,45,13,False,Mobile,Returning
SES000252,USR00129,LST008,Whitepaper,154,5,False,Mobile,Returning
SES000255,USR00130,LST013,Property Valuation Report,38,7,False,Mobile,First-time
SES000255,USR00130,LST013,Whitepaper,52,4,True,Mobile,First-time
SES000257,USR00131,LST001,Whitepaper,103,1,False,Desktop,First-time
SES000257,USR00131,LST001,Property Brochure,67,1,False,Desktop,First-time
SES000257,USR00131,LST001,Projections (XLSX),1290,8,False,Desktop,First-time
SES000257,USR00131,LST001,Property Brochure (Unit Specific),70,4,True,Desktop,First-time
SES000260,USR00132,LST019,Projections (XLSX),395,7,False,Mobile,First-time
SES000263,USR00133,LST002,Investment Memorandum,259,1,True,Desktop,First-time
SES000263,USR00133,LST002,Property Brochure (Unit Specific),55,4,False,Desktop,First-time
SES000263,USR00133,LST002,Property Brochure,37,4,False,Desktop,First-time
SES000266,USR00134,LST024,Projections (XLSX),440,9,True,Mobile,First-time
SES000266,USR00134,LST024,Investment Memorandum,55,12,False,Mobile,First-time
SES000272,USR00137,LST030,Projections (XLSX),48,4,True,Mobile,Returning
SES000272,USR00137,LST030,Property Valuation Report,67,2,False,Mobile,Returning
SES000272,USR00137,LST030,Property Brochure,81,3,False,Mobile,Returning
SES000272,USR00137,LST030,Property Brochure (Unit Specific),31,3,False,Mobile,Returning
SES000272,USR00137,LST030,Whitepaper,143,4,False,Mobile,Returning
SES000282,USR00140,LST018,Property Valuation Report,100,1,False,Desktop,First-time
SES000282,USR00140,LST018,Investment Memorandum,248,1,False,Desktop,First-time
SES000282,USR00140,LST018,Property Brochure,41,1,False,Desktop,First-time
SES000287,USR00144,LST007,Property Valuation Report,22,1,False,Mobile,Returning
SES000287,USR00144,LST007,Investment Memorandum,253,13,False,Mobile,Returning
SES000287,USR00144,LST007,Property Brochure (Unit Specific),18,1,False,Mobile,Returning
SES000287,USR00144,LST007,Property Brochure,99,1,False,Mobile,Returning
SES000291,USR00144,LST017,Property Brochure,76,3,False,Mobile,Returning
SES000291,USR00144,LST017,Projections (XLSX),92,9,True,Mobile,Returning
SES000292,USR00145,LST004,Investment Memorandum,180,2,False,Desktop,First-time
SES000292,USR00145,LST004,Property Valuation Report,77,2,False,Desktop,First-time
SES000292,USR00145,LST004,Property Brochure (Unit Specific),79,2,False,Desktop,First-time
SES000292,USR00145,LST004,Whitepaper,16,6,False,Desktop,First-time
SES000301,USR00150,LST027,Projections (XLSX),162,7,False,Mobile,First-time
SES000306,USR00152,LST021,Property Valuation Report,105,7,False,Tablet,Returning
SES000306,USR00152,LST021,Property Brochure (Unit Specific),71,4,False,Tablet,Returning
SES000306,USR00152,LST021,Whitepaper,36,3,True,Tablet,Returning
SES000306,USR00152,LST021,Investment Memorandum,343,5,False,Tablet,Returning
SES000306,USR00152,LST021,Property Brochure,328,4,False,Tablet,Returning
SES000318,USR00160,LST004,Whitepaper,77,6,False,Desktop,First-time
SES000318,USR00160,LST004,Investment Memorandum,150,12,True,Desktop,First-time
SES000318,USR00160,LST004,Property Brochure (Unit Specific),79,1,False,Desktop,First-time
SES000318,USR00160,LST004,Projections (XLSX),402,4,False,Desktop,First-time
SES000321,USR00161,LST002,Property Brochure,8,4,False,Mobile,Returning
SES000321,USR00161,LST002,Investment Memorandum,190,9,False,Mobile,Returning
SES000321,USR00161,LST002,Whitepaper,187,6,False,Mobile,Returning
SES000331,USR00166,LST012,Property Brochure (Unit Specific),13,3,False,Mobile,Returning
SES000331,USR00166,LST012,Property Brochure,10,3,False,Mobile,Returning
SES000331,USR00166,LST012,Whitepaper,12,5,False,Mobile,Returning
SES000333,USR00167,LST014,Property Brochure (Unit Specific),12,2,False,Mobile,First-time
SES000333,USR00167,LST014,Property Valuation Report,71,2,False,Mobile,First-time
SES000336,USR00169,LST020,Property Brochure,42,2,False,Mobile,First-time
SES000336,USR00169,LST020,Property Valuation Report,36,4,True,Mobile,First-time
SES000336,USR00169,LST020,Investment Memorandum,42,12,True,Mobile,First-time
SES000339,USR00171,LST030,Property Brochure (Unit Specific),19,1,False,Mobile,First-time
SES000339,USR00171,LST030,Investment Memorandum,51,4,True,Mobile,First-time
SES000341,USR00173,LST021,Property Brochure,144,4,False,Tablet,Returning
SES000341,USR00173,LST021,Property Valuation Report,116,5,True,Tablet,Returning
SES000341,USR00173,LST021,Investment Memorandum,278,2,False,Tablet,Returning
SES000341,USR00173,LST021,Property Brochure (Unit Specific),22,1,False,Tablet,Returning
SES000341,USR00173,LST021,Whitepaper,231,6,False,Tablet,Returning
SES000341,USR00173,LST021,Projections (XLSX),437,8,True,Tablet,Returning
SES000349,USR00177,LST012,Property Brochure (Unit Specific),11,2,False,Mobile,First-time
SES000357,USR00180,LST019,Investment Memorandum,332,1,True,Mobile,First-time
SES000357,USR00180,LST019,Property Brochure (Unit Specific),51,2,False,Mobile,First-time
SES000357,USR00180,LST019,Projections (XLSX),287,3,True,Mobile,First-time
SES000357,USR00180,LST019,Whitepaper,54,1,True,Mobile,First-time
SES000360,USR00182,LST009,Projections (XLSX),217,5,False,Desktop,First-time
SES000360,USR00182,LST009,Investment Memorandum,78,11,False,Desktop,First-time
SES000360,USR00182,LST009,Whitepaper,42,5,False,Desktop,First-time
SES000362,USR00184,LST003,Property Brochure (Unit Specific),39,4,False,Mobile,First-time
SES000362,USR00184,LST003,Investment Memorandum,218,7,False,Mobile,First-time
SES000364,USR00185,LST017,Property Brochure (Unit Specific),90,3,True,Tablet,First-time
SES000369,USR00186,LST007,Property Valuation Report,17,1,False,Mobile,First-time
SES000371,USR00188,LST022,Property Brochure (Unit Specific),73,3,True,Mobile,First-time
SES000371,USR00188,LST022,Property Valuation Report,63,2,False,Mobile,First-time
SES000387,USR00196,LST027,Property Brochure,15,2,False,Mobile,Returning
SES000387,USR00196,LST027,Property Brochure (Unit Specific),90,2,False,Mobile,Returning
SES000387,USR00196,LST027,Whitepaper,74,1,False,Mobile,Returning
SES000387,USR00196,LST027,Investment Memorandum,73,5,False,Mobile,Returning
SES000387,USR00196,LST027,Projections (XLSX),112,8,True,Mobile,Returning
SES000387,USR00196,LST027,Property Valuation Report,106,3,False,Mobile,Returning
SES000388,USR00197,LST019,Investment Memorandum,100,13,False,Desktop,First-time
SES000388,USR00197,LST019,Property Valuation Report,17,4,False,Desktop,First-time
SES000389,USR00198,LST005,Projections (XLSX),70,3,False,Mobile,Returning
SES000389,USR00198,LST005,Whitepaper,143,1,False,Mobile,Returning
SES000390,USR00199,LST006,Property Valuation Report,61,2,False,Mobile,First-time
SES000404,USR00206,LST023,Property Valuation Report,40,2,False,Mobile,Returning
SES000404,USR00206,LST023,Investment Memorandum,608,10,False,Mobile,Returning
SES000404,USR00206,LST023,Whitepaper,9,4,True,Mobile,Returning
SES000408,USR00209,LST007,Property Brochure (Unit Specific),29,3,True,Desktop,Returning
SES000408,USR00209,LST007,Property Brochure,181,2,False,Desktop,Returning
SES000408,USR00209,LST007,Property Valuation Report,133,5,False,Desktop,Returning
SES000408,USR00209,LST007,Investment Memorandum,227,8,True,Desktop,Returning
SES000408,USR00209,LST007,Whitepaper,89,5,False,Desktop,Returning
SES000410,USR00210,LST002,Property Valuation Report,110,2,False,Mobile,First-time
SES000417,USR00216,LST007,Property Brochure,18,3,False,Mobile,First-time
SES000417,USR00216,LST007,Projections (XLSX),54,5,True,Mobile,First-time
SES000420,USR00217,LST016,Property Valuation Report,49,7,False,Mobile,First-time
SES000423,USR00219,LST024,Projections (XLSX),274,5,True,Desktop,Returning
SES000423,USR00219,LST024,Property Brochure (Unit Specific),61,1,False,Desktop,Returning
SES000423,USR00219,LST024,Property Brochure,35,2,False,Desktop,Returning
SES000424,USR00219,LST027,Property Valuation Report,47,4,False,Desktop,Returning
SES000424,USR00219,LST027,Whitepaper,26,5,False,Desktop,Returning
SES000424,USR00219,LST027,Investment Memorandum,192,8,False,Desktop,Returning
SES000424,USR00219,LST027,Property Brochure,49,4,False,Desktop,Returning
SES000432,USR00224,LST001,Whitepaper,22,3,False,Mobile,Returning
SES000432,USR00224,LST001,Property Brochure (Unit Specific),47,3,False,Mobile,Returning
SES000432,USR00224,LST001,Investment Memorandum,77,5,False,Mobile,Returning
SES000432,USR00224,LST001,Property Valuation Report,91,7,False,Mobile,Returning
SES000432,USR00224,LST001,Property Brochure,8,1,False,Mobile,Returning
SES000435,USR00226,LST001,Property Valuation Report,172,2,False,Desktop,First-time
SES000435,USR00226,LST001,Property Brochure (Unit Specific),43,3,False,Desktop,First-time
SES000438,USR00227,LST022,Property Brochure (Unit Specific),76,4,False,Mobile,First-time
SES000438,USR00227,LST022,Property Brochure,36,2,False,Mobile,First-time
SES000448,USR00236,LST022,Property Brochure (Unit Specific),27,3,False,Mobile,Returning
SES000448,USR00236,LST022,Property Brochure,73,1,False,Mobile,Returning
SES000452,USR00236,LST026,Investment Memorandum,157,11,False,Mobile,Returning
SES000452,USR00236,LST026,Property Brochure (Unit Specific),30,1,False,Mobile,Returning
SES000452,USR00236,LST026,Whitepaper,128,2,False,Mobile,Returning
SES000453,USR00237,LST008,Projections (XLSX),217,8,False,Desktop,Returning
SES000453,USR00237,LST008,Property Brochure,67,2,False,Desktop,Returning
SES000453,USR00237,LST008,Whitepaper,49,4,False,Desktop,Returning
SES000453,USR00237,LST008,Property Brochure (Unit Specific),45,1,False,Desktop,Returning
SES000455,USR00237,LST019,Investment Memorandum,191,11,False,Desktop,Returning
SES000455,USR00237,LST019,Property Brochure (Unit Specific),47,4,False,Desktop,Returning
SES000459,USR00238,LST020,Investment Memorandum,112,5,False,Desktop,First-time
SES000459,USR00238,LST020,Property Brochure,37,3,False,Desktop,First-time
SES000459,USR00238,LST020,Property Valuation Report,299,3,False,Desktop,First-time
SES000460,USR00239,LST001,Property Brochure (Unit Specific),309,1,False,Desktop,First-time
SES000460,USR00239,LST001,Property Brochure,183,4,False,Desktop,First-time
SES000467,USR00245,LST023,Property Brochure (Unit Specific),8,3,False,Mobile,Returning
SES000467,USR00245,LST023,Whitepaper,72,6,False,Mobile,Returning
SES000467,USR00245,LST023,Projections (XLSX),226,4,False,Mobile,Returning
SES000469,USR00247,LST010,Property Brochure,45,2,False,Mobile,First-time
SES000472,USR00248,LST018,Property Valuation Report,435,6,False,Mobile,First-time
SES000486,USR00258,LST023,Investment Memorandum,562,11,False,Desktop,Returning
SES000486,USR00258,LST023,Property Valuation Report,17,4,False,Desktop,Returning
SES000486,USR00258,LST023,Projections (XLSX),226,2,False,Desktop,Returning
SES000486,USR00258,LST023,Whitepaper,86,3,True,Desktop,Returning
SES000488,USR00258,LST030,Property Brochure,62,4,False,Desktop,Returning
SES000488,USR00258,LST030,Whitepaper,145,2,False,Desktop,Returning
SES000488,USR00258,LST030,Projections (XLSX),275,4,False,Desktop,Returning
SES000488,USR00258,LST030,Investment Memorandum,321,3,False,Desktop,Returning
SES000488,USR00258,LST030,Property Valuation Report,170,5,False,Desktop,Returning
SES000490,USR00259,LST023,Property Brochure (Unit Specific),82,1,True,Desktop,Returning
SES000490,USR00259,LST023,Property Brochure,216,3,False,Desktop,Returning
SES000490,USR00259,LST023,Property Valuation Report,17,3,True,Desktop,Returning
SES000490,USR00259,LST023,Whitepaper,122,6,False,Desktop,Returning
SES000490,USR00259,LST023,Investment Memorandum,415,7,False,Desktop,Returning
SES000491,USR00259,LST008,Property Valuation Report,67,3,False,Desktop,Returning
SES000491,USR00259,LST008,Investment Memorandum,89,7,False,Desktop,Returning
SES000491,USR00259,LST008,Property Brochure (Unit Specific),105,3,True,Desktop,Returning
SES000491,USR00259,LST008,Property Brochure,99,3,False,Desktop,Returning
SES000491,USR00259,LST008,Whitepaper,132,1,False,Desktop,Returning
SES000492,USR00259,LST012,Investment Memorandum,98,9,False,Desktop,Returning
