session_id,user_id,listing_id,stage,timestamp,device_type,investor_type
SES000022,USR00012,LST030,Listing Browse,2024-12-13 10:02:30,Desktop,First-time
SES000022,USR00012,LST030,Listing Detail View,2024-12-13 10:09:30,Desktop,First-time
SES000023,USR00013,LST024,Homepage,2025-02-17 08:37:52,Desktop,First-time
SES000023,USR00013,LST024,Listing Browse,2025-02-17 08:40:52,Desktop,First-time
SES000023,USR00013,LST024,Listing Detail View,2025-02-17 08:45:52,Desktop,First-time
SES000023,USR00013,LST024,Document Engagement,2025-02-17 08:48:52,Desktop,First-time
SES000023,USR00013,LST024,KYC Initiation,2025-02-17 08:55:52,Desktop,First-time
SES000023,USR00013,LST024,Token Selection,2025-02-17 08:56:52,Desktop,First-time
SES000024,USR00013,LST022,Homepage,2025-02-17 11:19:28,Desktop,First-time
SES000024,USR00013,LST022,Listing Browse,2025-02-17 11:27:28,Desktop,First-time
SES000025,USR00014,LST030,Homepage,2024-12-13 19:55:17,Mobile,Returning
SES000025,USR00014,LST030,Listing Browse,2024-12-13 20:00:17,Mobile,Returning
SES000026,USR00014,LST024,Homepage,2025-01-15 17:22:28,Mobile,Returning
SES000026,USR00014,LST024,Listing Browse,2025-01-15 17:30:28,Mobile,Returning
SES000026,USR00014,LST024,Listing Detail View,2025-01-15 17:34:28,Mobile,Returning
SES000026,USR00014,LST024,Document Engagement,2025-01-15 17:40:28,Mobile,Returning
SES000026,USR00014,LST024,KYC Initiation,2025-01-15 17:45:28,Mobile,Returning
SES000027,USR00015,LST011,Homepage,2025-03-19 23:44:16,Desktop,First-time
SES000027,USR00015,LST011,Listing Browse,2025-03-19 23:47:16,Desktop,First-time
SES000028,USR00015,LST005,Homepage,2025-03-29 00:32:19,Desktop,First-time
SES000029,USR00015,LST006,Homepage,2025-03-19 07:55:22,Desktop,First-time
SES000029,USR00015,LST006,Listing Browse,2025-03-19 07:56:22,Desktop,First-time
SES000030,USR00015,LST025,Homepage,2025-03-20 01:36:42,Desktop,First-time
SES000030,USR00015,LST025,Listing Browse,2025-03-20 01:43:42,Desktop,First-time
SES000030,USR00015,LST025,Listing Detail View,2025-03-20 01:49:42,Desktop,First-time
SES000030,USR00015,LST025,Document Engagement,2025-03-20 01:56:42,Desktop,First-time
SES000030,USR00015,LST025,KYC Initiation,2025-03-20 01:57:42,Desktop,First-time
SES000031,USR00015,LST015,Homepage,2025-03-17 00:52:29,Desktop,First-time
SES000031,USR00015,LST015,Listing Browse,2025-03-17 00:53:29,Desktop,First-time
SES000031,USR00015,LST015,Listing Detail View,2025-03-17 00:59:29,Desktop,First-time
SES000032,USR00016,LST030,Homepage,2024-11-08 19:27:28,Mobile,Returning
SES000032,USR00016,LST030,Listing Browse,2024-11-08 19:29:28,Mobile,Returning
SES000032,USR00016,LST030,Listing Detail View,2024-11-08 19:34:28,Mobile,Returning
SES000032,USR00016,LST030,Document Engagement,2024-11-08 19:41:28,Mobile,Returning
SES000032,USR00016,LST030,KYC Initiation,2024-11-08 19:42:28,Mobile,Returning
SES000032,USR00016,LST030,Token Selection,2024-11-08 19:43:28,Mobile,Returning
SES000033,USR00016,LST022,Homepage,2024-10-15 08:34:25,Mobile,Returning
SES000033,USR00016,LST022,Listing Browse,2024-10-15 08:39:25,Mobile,Returning
SES000033,USR00016,LST022,Listing Detail View,2024-10-15 08:42:25,Mobile,Returning
SES000034,USR00016,LST004,Homepage,2024-10-24 01:31:51,Mobile,Returning
SES000034,USR00016,LST004,Listing Browse,2024-10-24 01:36:51,Mobile,Returning
SES000034,USR00016,LST004,Listing Detail View,2024-10-24 01:43:51,Mobile,Returning
SES000034,USR00016,LST004,Document Engagement,2024-10-24 01:51:51,Mobile,Returning
SES000035,USR00016,LST029,Homepage,2024-11-08 13:08:02,Mobile,Returning
SES000035,USR00016,LST029,Listing Browse,2024-11-08 13:14:02,Mobile,Returning
SES000036,USR00017,LST016,Homepage,2024-10-26 07:21:29,Mobile,First-time
SES000037,USR00018,LST019,Homepage,2025-03-04 04:54:31,Mobile,First-time
SES000037,USR00018,LST019,Listing Browse,2025-03-04 04:59:31,Mobile,First-time
SES000038,USR00018,LST004,Homepage,2025-02-20 18:42:52,Mobile,First-time
SES000038,USR00018,LST004,Listing Browse,2025-02-20 18:47:52,Mobile,First-time
SES000038,USR00018,LST004,Listing Detail View,2025-02-20 18:52:52,Mobile,First-time
SES000039,USR00019,LST008,Homepage,2024-11-07 15:20:32,Mobile,Returning
SES000039,USR00019,LST008,Listing Browse,2024-11-07 15:27:32,Mobile,Returning
SES000040,USR00020,LST026,Homepage,2024-11-20 16:11:46,Tablet,First-time
SES000040,USR00020,LST026,Listing Browse,2024-11-20 16:16:46,Tablet,First-time
SES000040,USR00020,LST026,Listing Detail View,2024-11-20 16:24:46,Tablet,First-time
SES000041,USR00020,LST003,Homepage,2024-11-22 00:45:06,Tablet,First-time
SES000041,USR00020,LST003,Listing Browse,2024-11-22 00:48:06,Tablet,First-time
SES000041,USR00020,LST003,Listing Detail View,2024-11-22 00:56:06,Tablet,First-time
SES000042,USR00020,LST006,Homepage,2024-11-23 23:57:47,Tablet,First-time
SES000042,USR00020,LST006,Listing Browse,2024-11-23 23:59:47,Tablet,First-time
SES000042,USR00020,LST006,Listing Detail View,2024-11-24 00:04:47,Tablet,First-time
SES000042,USR00020,LST006,Document Engagement,2024-11-24 00:07:47,Tablet,First-time
SES000042,USR00020,LST006,KYC Initiation,2024-11-24 00:08:47,Tablet,First-time
SES000042,USR00020,LST006,Token Selection,2024-11-24 00:11:47,Tablet,First-time
SES000042,USR00020,LST006,Payment Initiated,2024-11-24 00:15:47,Tablet,First-time
SES000042,USR00020,LST006,Investment Completed,2024-11-24 00:18:47,Tablet,First-time
SES000043,USR00020,LST004,Homepage,2024-11-16 00:20:14,Tablet,First-time
SES000044,USR00021,LST028,Homepage,2025-03-13 05:45:21,Mobile,First-time
SES000044,USR00021,LST028,Listing Browse,2025-03-13 05:50:21,Mobile,First-time
SES000045,USR00021,LST001,Homepage,2025-01-16 10:09:04,Mobile,First-time
SES000045,USR00021,LST001,Listing Browse,2025-01-16 10:15:04,Mobile,First-time
SES000045,USR00021,LST001,Listing Detail View,2025-01-16 10:22:04,Mobile,First-time
SES000046,USR00022,LST030,Homepage,2024-10-23 22:23:22,Mobile,First-time
SES000046,USR00022,LST030,Listing Browse,2024-10-23 22:30:22,Mobile,First-time
SES000047,USR00023,LST003,Homepage,2025-02-09 06:37:32,Desktop,First-time
SES000047,USR00023,LST003,Listing Browse,2025-02-09 06:39:32,Desktop,First-time
SES000047,USR00023,LST003,Listing Detail View,2025-02-09 06:44:32,Desktop,First-time
SES000047,USR00023,LST003,Document Engagement,2025-02-09 06:45:32,Desktop,First-time
SES000047,USR00023,LST003,KYC Initiation,2025-02-09 06:53:32,Desktop,First-time
SES000048,USR00024,LST026,Homepage,2025-03-10 16:38:55,Mobile,Returning
SES000048,USR00024,LST026,Listing Browse,2025-03-10 16:46:55,Mobile,Returning
SES000048,USR00024,LST026,Listing Detail View,2025-03-10 16:51:55,Mobile,Returning
SES000049,USR00024,LST028,Homepage,2025-03-27 14:49:31,Mobile,Returning
SES000049,USR00024,LST028,Listing Browse,2025-03-27 14:54:31,Mobile,Returning
SES000049,USR00024,LST028,Listing Detail View,2025-03-27 14:57:31,Mobile,Returning
SES000050,USR00024,LST013,Homepage,2025-03-06 00:20:09,Mobile,Returning
SES000050,USR00024,LST013,Listing Browse,2025-03-06 00:27:09,Mobile,Returning
SES000050,USR00024,LST013,Listing Detail View,2025-03-06 00:30:09,Mobile,Returning
SES000050,USR00024,LST013,Document Engagement,2025-03-06 00:33:09,Mobile,Returning
SES000050,USR00024,LST013,KYC Initiation,2025-03-06 00:35:09,Mobile,Returning
SES000050,USR00024,LST013,Token Selection,2025-03-06 00:41:09,Mobile,Returning
SES000051,USR00024,LST013,Homepage,2025-03-23 02:44:36,Mobile,Returning
SES000051,USR00024,LST013,Listing Browse,2025-03-23 02:50:36,Mobile,Returning
SES000052,USR00024,LST023,Homepage,2025-03-12 07:41:22,Mobile,Returning
SES000052,USR00024,LST023,Listing Browse,2025-03-12 07:43:22,Mobile,Returning
SES000052,USR00024,LST023,Listing Detail View,2025-03-12 07:46:22,Mobile,Returning
SES000052,USR00024,LST023,Document Engagement,2025-03-12 07:47:22,Mobile,Returning
SES000052,USR00024,LST023,KYC Initiation,2025-03-12 07:50:22,Mobile,Returning
SES000053,USR00025,LST020,Homepage,2024-12-30 20:08:21,Mobile,First-time
SES000053,USR00025,LST020,Listing Browse,2024-12-30 20:12:21,Mobile,First-time
SES000054,USR00026,LST003,Homepage,2025-03-22 05:04:34,Mobile,First-time
SES000054,USR00026,LST003,Listing Browse,2025-03-22 05:06:34,Mobile,First-time
SES000054,USR00026,LST003,Listing Detail View,2025-03-22 05:13:34,Mobile,First-time
SES000055,USR00027,LST013,Homepage,2025-03-14 23:46:48,Mobile,First-time
SES000055,USR00027,LST013,Listing Browse,2025-03-14 23:47:48,Mobile,First-time
SES000055,USR00027,LST013,Listing Detail View,2025-03-14 23:51:48,Mobile,First-time
SES000055,USR00027,LST013,Document Engagement,2025-03-14 23:56:48,Mobile,First-time
SES000056,USR00027,LST005,Homepage,2025-03-29 20:38:14,Mobile,First-time
SES000056,USR00027,LST005,Listing Browse,2025-03-29 20:40:14,Mobile,First-time
SES000056,USR00027,LST005,Listing Detail View,2025-03-29 20:48:14,Mobile,First-time
SES000057,USR00027,LST025,Homepage,2025-03-30 18:33:18,Mobile,First-time
SES000057,USR00027,LST025,Listing Browse,2025-03-30 18:37:18,Mobile,First-time
SES000058,USR00027,LST017,Homepage,2025-03-29 08:02:51,Mobile,First-time
SES000058,USR00027,LST017,Listing Browse,2025-03-29 08:03:51,Mobile,First-time
SES000058,USR00027,LST017,Listing Detail View,2025-03-29 08:08:51,Mobile,First-time
SES000058,USR00027,LST017,Document Engagement,2025-03-29 08:14:51,Mobile,First-time
SES000059,USR00028,LST018,Homepage,2025-03-08 11:22:47,Tablet,First-time
SES000059,USR00028,LST018,Listing Browse,2025-03-08 11:29:47,Tablet,First-time
SES000060,USR00028,LST020,Homepage,2025-01-21 14:39:27,Tablet,First-time
SES000060,USR00028,LST020,Listing Browse,2025-01-21 14:42:27,Tablet,First-time
SES000060,USR00028,LST020,Listing Detail View,2025-01-21 14:43:27,Tablet,First-time
SES000060,USR00028,LST020,Document Engagement,2025-01-21 14:44:27,Tablet,First-time
SES000061,USR00029,LST028,Homepage,2024-12-22 19:48:17,Mobile,First-time
SES000061,USR00029,LST028,Listing Browse,2024-12-22 19:53:17,Mobile,First-time
SES000061,USR00029,LST028,Listing Detail View,2024-12-22 19:58:17,Mobile,First-time
SES000061,USR00029,LST028,Document Engagement,2024-12-22 20:01:17,Mobile,First-time
SES000062,USR00029,LST009,Homepage,2024-12-24 15:49:12,Mobile,First-time
SES000063,USR00030,LST009,Homepage,2025-02-23 12:07:14,Mobile,First-time
SES000063,USR00030,LST009,Listing Browse,2025-02-23 12:11:14,Mobile,First-time
SES000063,USR00030,LST009,Listing Detail View,2025-02-23 12:19:14,Mobile,First-time
SES000064,USR00030,LST010,Homepage,2025-02-12 19:39:55,Mobile,First-time
SES000064,USR00030,LST010,Listing Browse,2025-02-12 19:44:55,Mobile,First-time
SES000064,USR00030,LST010,Listing Detail View,2025-02-12 19:48:55,Mobile,First-time
SES000065,USR00031,LST015,Homepage,2024-12-11 08:03:11,Desktop,First-time
SES000065,USR00031,LST015,Listing Browse,2024-12-11 08:10:11,Desktop,First-time
SES000066,USR00032,LST026,Homepage,2025-03-23 11:42:29,Mobile,Returning
SES000066,USR00032,LST026,Listing Browse,2025-03-23 11:47:29,Mobile,Returning
SES000067,USR00032,LST028,Homepage,2025-03-28 14:25:45,Mobile,Returning
SES000067,USR00032,LST028,Listing Browse,2025-03-28 14:27:45,Mobile,Returning
SES000068,USR00032,LST004,Homepage,2025-03-26 21:07:29,Mobile,Returning
SES000068,USR00032,LST004,Listing Browse,2025-03-26 21:14:29,Mobile,Returning
SES000068,USR00032,LST004,Listing Detail View,2025-03-26 21:18:29,Mobile,Returning
SES000069,USR00032,LST014,Homepage,2025-03-21 05:24:00,Mobile,Returning
SES000069,USR00032,LST014,Listing Browse,2025-03-21 05:29:00,Mobile,Returning
SES000070,USR00033,LST006,Homepage,2024-11-20 04:21:07,Tablet,Returning
SES000071,USR00034,LST022,Homepage,2024-12-10 22:56:49,Mobile,First-time
SES000071,USR00034,LST022,Listing Browse,2024-12-10 23:04:49,Mobile,First-time
SES000071,USR00034,LST022,Listing Detail View,2024-12-10 23:12:49,Mobile,First-time
SES000072,USR00035,LST008,Homepage,2025-03-26 10:05:41,Mobile,First-time
SES000072,USR00035,LST008,Listing Browse,2025-03-26 10:10:41,Mobile,First-time
SES000073,USR00036,LST018,Homepage,2025-03-17 16:37:56,Mobile,First-time
SES000073,USR00036,LST018,Listing Browse,2025-03-17 16:41:56,Mobile,First-time
SES000074,USR00036,LST003,Homepage,2025-03-21 09:10:00,Mobile,First-time
SES000075,USR00037,LST011,Homepage,2024-12-26 00:11:07,Desktop,First-time
SES000075,USR00037,LST011,Listing Browse,2024-12-26 00:17:07,Desktop,First-time
SES000075,USR00037,LST011,Listing Detail View,2024-12-26 00:21:07,Desktop,First-time
SES000076,USR00038,LST019,Homepage,2024-12-12 14:29:33,Mobile,First-time
SES000076,USR00038,LST019,Listing Browse,2024-12-12 14:30:33,Mobile,First-time
SES000077,USR00039,LST013,Homepage,2025-03-10 15:26:25,Desktop,First-time
SES000078,USR00039,LST016,Homepage,2025-03-25 02:44:07,Desktop,First-time
SES000078,USR00039,LST016,Listing Browse,2025-03-25 02:52:07,Desktop,First-time
SES000078,USR00039,LST016,Listing Detail View,2025-03-25 02:58:07,Desktop,First-time
SES000079,USR00039,LST026,Homepage,2025-03-22 10:14:12,Desktop,First-time
SES000079,USR00039,LST026,Listing Browse,2025-03-22 10:16:12,Desktop,First-time
SES000080,USR00040,LST020,Homepage,2024-10-19 14:03:02,Mobile,First-time
SES000081,USR00041,LST011,Homepage,2025-03-11 05:54:27,Desktop,Returning
SES000081,USR00041,LST011,Listing Browse,2025-03-11 06:01:27,Desktop,Returning
SES000081,USR00041,LST011,Listing Detail View,2025-03-11 06:03:27,Desktop,Returning
SES000082,USR00042,LST022,Homepage,2025-01-09 19:05:11,Tablet,First-time
SES000082,USR00042,LST022,Listing Browse,2025-01-09 19:08:11,Tablet,First-time
SES000082,USR00042,LST022,Listing Detail View,2025-01-09 19:12:11,Tablet,First-time
SES000083,USR00043,LST011,Homepage,2025-01-13 16:30:44,Mobile,First-time
SES000083,USR00043,LST011,Listing Browse,2025-01-13 16:37:44,Mobile,First-time
SES000083,USR00043,LST011,Listing Detail View,2025-01-13 16:45:44,Mobile,First-time
SES000084,USR00044,LST021,Homepage,2024-12-31 18:30:34,Desktop,First-time
SES000084,USR00044,LST021,Listing Browse,2024-12-31 18:31:34,Desktop,First-time
SES000084,USR00044,LST021,Listing Detail View,2024-12-31 18:35:34,Desktop,First-time
SES000085,USR00045,LST007,Homepage,2025-01-24 14:54:03,Tablet,Returning
SES000085,USR00045,LST007,Listing Browse,2025-01-24 15:00:03,Tablet,Returning
SES000086,USR00046,LST008,Homepage,2024-12-13 04:11:06,Mobile,First-time
SES000086,USR00046,LST008,Listing Browse,2024-12-13 04:19:06,Mobile,First-time
SES000086,USR00046,LST008,Listing Detail View,2024-12-13 04:20:06,Mobile,First-time
SES000086,USR00046,LST008,Document Engagement,2024-12-13 04:28:06,Mobile,First-time
SES000087,USR00046,LST026,Homepage,2024-12-09 04:19:25,Mobile,First-time
SES000087,USR00046,LST026,Listing Browse,2024-12-09 04:25:25,Mobile,First-time
SES000088,USR00047,LST001,Homepage,2024-11-03 23:17:59,Mobile,Returning
SES000088,USR00047,LST001,Listing Browse,2024-11-03 23:24:59,Mobile,Returning
SES000088,USR00047,LST001,Listing Detail View,2024-11-03 23:26:59,Mobile,Returning
SES000088,USR00047,LST001,Document Engagement,2024-11-03 23:27:59,Mobile,Returning
SES000088,USR00047,LST001,KYC Initiation,2024-11-03 23:28:59,Mobile,Returning
SES000088,USR00047,LST001,Token Selection,2024-11-03 23:33:59,Mobile,Returning
SES000088,USR00047,LST001,Payment Initiated,2024-11-03 23:37:59,Mobile,Returning
SES000089,USR00047,LST005,Homepage,2024-12-08 11:42:01,Mobile,Returning
SES000089,USR00047,LST005,Listing Browse,2024-12-08 11:43:01,Mobile,Returning
SES000089,USR00047,LST005,Listing Detail View,2024-12-08 11:45:01,Mobile,Returning
SES000089,USR00047,LST005,Document Engagement,2024-12-08 11:50:01,Mobile,Returning
SES000089,USR00047,LST005,KYC Initiation,2024-12-08 11:58:01,Mobile,Returning
SES000089,USR00047,LST005,Token Selection,2024-12-08 11:59:01,Mobile,Returning
SES000089,USR00047,LST005,Payment Initiated,2024-12-08 12:06:01,Mobile,Returning
SES000090,USR00047,LST016,Homepage,2024-11-15 18:01:34,Mobile,Returning
SES000090,USR00047,LST016,Listing Browse,2024-11-15 18:02:34,Mobile,Returning
SES000090,USR00047,LST016,Listing Detail View,2024-11-15 18:09:34,Mobile,Returning
SES000090,USR00047,LST016,Document Engagement,2024-11-15 18:16:34,Mobile,Returning
SES000090,USR00047,LST016,KYC Initiation,2024-11-15 18:24:34,Mobile,Returning
SES000090,USR00047,LST016,Token Selection,2024-11-15 18:31:34,Mobile,Returning
SES000090,USR00047,LST016,Payment Initiated,2024-11-15 18:39:34,Mobile,Returning
SES000091,USR00047,LST001,Homepage,2024-12-06 14:57:53,Mobile,Returning
SES000091,USR00047,LST001,Listing Browse,2024-12-06 15:04:53,Mobile,Returning
SES000091,USR00047,LST001,Listing Detail View,2024-12-06 15:09:53,Mobile,Returning
SES000092,USR00047,LST007,Homepage,2025-01-01 23:37:43,Mobile,Returning
SES000092,USR00047,LST007,Listing Browse,2025-01-01 23:40:43,Mobile,Returning
SES000092,USR00047,LST007,Listing Detail View,2025-01-01 23:46:43,Mobile,Returning
SES000092,USR00047,LST007,Document Engagement,2025-01-01 23:52:43,Mobile,Returning
SES000092,USR00047,LST007,KYC Initiation,2025-01-01 23:58:43,Mobile,Returning
SES000092,USR00047,LST007,Token Selection,2025-01-01 23:59:43,Mobile,Returning
SES000092,USR00047,LST007,Payment Initiated,2025-01-02 00:02:43,Mobile,Returning
SES000093,USR00048,LST005,Homepage,2025-03-28 18:21:07,Mobile,First-time
SES000093,USR00048,LST005,Listing Browse,2025-03-28 18:26:07,Mobile,First-time
SES000093,USR00048,LST005,Listing Detail View,2025-03-28 18:30:07,Mobile,First-time
SES000094,USR00049,LST012,Homepage,2025-03-24 23:22:32,Mobile,First-time
SES000094,USR00049,LST012,Listing Browse,2025-03-24 23:28:32,Mobile,First-time
SES000094,USR00049,LST012,Listing Detail View,2025-03-24 23:29:32,Mobile,First-time
SES000095,USR00050,LST015,Homepage,2024-12-28 01:44:44,Mobile,Returning
SES000095,USR00050,LST015,Listing Browse,2024-12-28 01:51:44,Mobile,Returning
SES000095,USR00050,LST015,Listing Detail View,2024-12-28 01:56:44,Mobile,Returning
SES000096,USR00051,LST021,Homepage,2024-12-27 01:07:51,Desktop,Returning
SES000096,USR00051,LST021,Listing Browse,2024-12-27 01:15:51,Desktop,Returning
SES000097,USR00052,LST008,Homepage,2025-03-28 16:04:07,Tablet,Returning
SES000097,USR00052,LST008,Listing Browse,2025-03-28 16:12:07,Tablet,Returning
SES000097,USR00052,LST008,Listing Detail View,2025-03-28 16:18:07,Tablet,Returning
SES000097,USR00052,LST008,Document Engagement,2025-03-28 16:19:07,Tablet,Returning
SES000097,USR00052,LST008,KYC Initiation,2025-03-28 16:24:07,Tablet,Returning
SES000097,USR00052,LST008,Token Selection,2025-03-28 16:30:07,Tablet,Returning
SES000098,USR00053,LST026,Homepage,2025-03-16 12:17:59,Tablet,First-time
SES000098,USR00053,LST026,Listing Browse,2025-03-16 12:19:59,Tablet,First-time
SES000099,USR00054,LST025,Homepage,2024-11-06 05:59:18,Mobile,First-time
SES000099,USR00054,LST025,Listing Browse,2024-11-06 06:06:18,Mobile,First-time
SES000099,USR00054,LST025,Listing Detail View,2024-11-06 06:07:18,Mobile,First-time
SES000099,USR00054,LST025,Document Engagement,2024-11-06 06:14:18,Mobile,First-time
SES000099,USR00054,LST025,KYC Initiation,2024-11-06 06:19:18,Mobile,First-time
SES000100,USR00054,LST006,Homepage,2024-12-09 17:16:17,Mobile,First-time
SES000101,USR00055,LST021,Homepage,2025-01-06 14:02:48,Mobile,Returning
SES000101,USR00055,LST021,Listing Browse,2025-01-06 14:03:48,Mobile,Returning
SES000101,USR00055,LST021,Listing Detail View,2025-01-06 14:11:48,Mobile,Returning
SES000101,USR00055,LST021,Document Engagement,2025-01-06 14:18:48,Mobile,Returning
SES000102,USR00055,LST015,Homepage,2024-12-20 12:31:24,Mobile,Returning
SES000103,USR00055,LST012,Homepage,2024-12-02 02:02:59,Mobile,Returning
SES000103,USR00055,LST012,Listing Browse,2024-12-02 02:09:59,Mobile,Returning
SES000103,USR00055,LST012,Listing Detail View,2024-12-02 02:17:59,Mobile,Returning
SES000103,USR00055,LST012,Document Engagement,2024-12-02 02:20:59,Mobile,Returning
SES000104,USR00056,LST026,Homepage,2025-02-23 08:06:13,Mobile,First-time
SES000104,USR00056,LST026,Listing Browse,2025-02-23 08:14:13,Mobile,First-time
SES000104,USR00056,LST026,Listing Detail View,2025-02-23 08:18:13,Mobile,First-time
